"No.","Time","Source","Destination","Protocol","Length","Leftover Capture Data","wValue","Info"
"759","128.829018000","host","7.0","USB","80","0e034f0044004d002000200020002203","0x0e60","URB_CONTROL out"
"761","128.833375000","host","7.0","USB","80","480061006e00740065006b0044005300","0x0e70","URB_CONTROL out"
"763","128.837757000","host","7.0","USB","80","4f003600300032003200420045002000","0x0e80","URB_CONTROL out"
"765","128.842105000","host","7.0","USB","66","0000","0x0e90","URB_CONTROL out"
"767","128.846500000","host","7.0","USB","80","90e682e030e004e020e60b90e682e030","0x1229","URB_CONTROL out"
"769","128.851094000","host","7.0","USB","80","e119e030e71590e680e04401f07f147e","0x1239","URB_CONTROL out"
"771","128.857443000","host","7.0","USB","76","0012100690e680e054fef022","0x1249","URB_CONTROL out"
"773","128.864399000","host","7.0","USB","80","90e682e044c0f090e681f04387010000","0x0003","URB_CONTROL out"
"775","128.868872000","host","7.0","USB","68","00000022","0x0013","URB_CONTROL out"
"777","128.874591000","host","7.0","USB","80","30060990e680e0440af0800790e680e0","0x11fa","URB_CONTROL out"
"779","128.879020000","host","7.0","USB","80","4408f07fdc7e0512100690e65d74fff0","0x120a","URB_CONTROL out"
"781","128.883381000","host","7.0","USB","79","90e65ff05391ef90e680e054f7f022","0x121a","URB_CONTROL out"
"783","128.887905000","host","7.0","USB","72","e4f541d2e9d2af22","0x1309","URB_CONTROL out"
"785","128.892378000","host","7.0","USB","80","90e678e020e6f9c2e990e678e04480f0","0x10f7","URB_CONTROL out"
"787","128.896814000","host","7.0","USB","80","ef25e090e679f090e678e030e0f990e6","0x1107","URB_CONTROL out"
"789","128.901238000","host","7.0","USB","80","78e04440f090e678e020e6f990e678e0","0x1117","URB_CONTROL out"
"791","128.905878000","host","7.0","USB","70","30e1d6d2e922","0x1127","URB_CONTROL out"
"793","128.910347000","host","7.0","USB","80","a90790e678e020e6f9e541702390e678","0x11c8","URB_CONTROL out"
"795","128.914743000","host","7.0","USB","80","e04480f0e925e090e679f08d3caf03a9","0x11d8","URB_CONTROL out"
"797","128.919120000","host","7.0","USB","80","07753d018a3e893fe4f540754101d322","0x11e8","URB_CONTROL out"
"799","128.923491000","host","7.0","USB","66","c322","0x11f8","URB_CONTROL out"
"801","128.927862000","host","7.0","USB","80","a90790e678e020e6f9e541702590e678","0x1162","URB_CONTROL out"
"803","128.932220000","host","7.0","USB","80","e04480f0e925e0440190e679f08d3caf","0x1172","URB_CONTROL out"
"805","128.936616000","host","7.0","USB","80","03a907753d018a3e893fe4f540754103","0x1182","URB_CONTROL out"
"807","128.941001000","host","7.0","USB","68","d322c322","0x1192","URB_CONTROL out"
"809","128.945376000","host","7.0","USB","67","020a73","0x004b","URB_CONTROL out"
"811","128.949768000","host","7.0","USB","80","c0e0c083c082c085c084c086758600c0","0x0a73","URB_CONTROL out"
"813","128.954134000","host","7.0","USB","80","d075d000c000c001c002c003c006c007","0x0a83","URB_CONTROL out"
"815","128.958487000","host","7.0","USB","80","90e678e030e206754106020b5d90e678","0x0a93","URB_CONTROL out"
"817","128.962873000","host","7.0","USB","80","e020e10ce54164026006754107020b5d","0x0aa3","URB_CONTROL out"
"819","128.967208000","host","7.0","USB","80","e54124fe605f14603624fe7003020b4e","0x0ab3","URB_CONTROL out"
"821","128.971612000","host","7.0","USB","80","24fc7003020b5a24086003020b5dab3d","0x0ac3","URB_CONTROL out"
"823","128.975981000","host","7.0","USB","80","aa3ea93faf4005408f82758300120e92","0x0ad3","URB_CONTROL out"
"825","128.980359000","host","7.0","USB","80","90e679f0e540653c7070754105806b90","0x0ae3","URB_CONTROL out"
"827","128.984747000","host","7.0","USB","80","e679e0ab3daa3ea93fae408e82758300","0x0af3","URB_CONTROL out"
"829","128.989172000","host","7.0","USB","80","120ebf754102e53c6401704e90e678e0","0x0b03","URB_CONTROL out"
"831","128.993616000","host","7.0","USB","80","4420f08045e53c24feb5400790e678e0","0x0b13","URB_CONTROL out"
